Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4 C5 C6","4","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"D1 D2","2","LED_Bidi","","","Dual LED, red and green, common cathode on pin 2","https://www.mouser.ca/datasheet/2/216/WP937GYW-49419.pdf","Kingbright","WP937GYW","Mouser","604-WP937GYW","https://www.mouser.ca/ProductDetail/Kingbright/WP937GYW?qs=pYCps6XRS2BGAhGpbeAyzQ%3D%3D","","","","","",""
"J1 J2 J3 J4","4","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J5 J7","2","Conn_Front","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J6 J8","2","Conn_Back","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","1540","https://www.adafruit.com/product/1540","Mouser","649-1012937993601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129379-936001BLF?qs=0lQeLiL1qyaSuTs3FuCL%2FQ%3D%3D","","",""
"J9","1","Conn_Eurorack_Pwr_10","","","Eurorack 10-pin board power connector","https://www.mouser.ca/datasheet/2/445/61201021621-1717731.pdf","Wurth Elektronik","61201021621","Mouser","710-61201021621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201021621?qs=%2Fha2pyFadugkhyfdWLPRIwz9kroMfF%252BXZWEETFcVSqiQRaqHzEC2RQ%3D%3D","Thonk","","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"R1 R2","2","4K7","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-4K7","Mouser","603-MFR-12FTF52-4K7","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-4K7?qs=oAGoVhmvjhwCB3QIStJPAg%3D%3D","","","","","",""
"R3 R5 R7 R11 R13 R14 R15 R18","8","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FRF52-100K","Mouser","603-MFR-12FRF52100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-100K?qs=19cKSROHwrAZsaNp2yj6EQ%3D%3D","","","","","",""
"R4 R12","2","33K2","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FRF52-33K2","Mouser","603-MFR-25FRF5233K2","https://www.mouser.ca/ProductDetail/?qs=5furm%2FeQHzT8SPOPrjOCcQ%3D%3D","","","","","",""
"R6 R8 R16 R17 R19","5","200K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-200K","Mouser","603-MFR-12FTF52-200K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-200K?qs=oAGoVhmvjhzyXGTT6oqbfw%3D%3D","","","","","",""
"R9 R21","2","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","","","","",""
"R10 R20","2","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"RV1 RV2 RV3 RV4","4","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"U1 U2","2","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U3 U4","2","LM4040","5V0","","LM4040 shunt voltage reference","https://www.ti.com/lit/ds/symlink/lm4040-n.pdf?ts=1622551591255","Texas Instruments","LM4040BIZ-5.0/NOPB","Mouser","926-LM4040BIZ50NOPB","https://www.mouser.ca/ProductDetail/Texas-Instruments/LM4040BIZ-5.0-NOPB?qs=QbsRYf82W3GLY9MRUWoCeQ%3D%3D","","","","","",""
